,Tweets,tweet_id,User,user_id,User_status_count,User_followers,User_friend_count,User_location,fav_count,rt_count,tweet_date,user_verified,User_friends_count
105,"Join the Ericsson team! See our latest #IT job openings, including ""5G Networks Software Developer (Zagreb)"", via t… https://t.co/Hus61UOA06",1286218487799504896,TMJ-Croatia Jobs,75648876,328,447,,Croatia,0,0,2020-07-23 08:35:58,False,276.0
106,U.K. to Support Nokia and Ericsson in Huawei Phase-Out Plan https://t.co/I3jhNXWI9M,1286217754966519808,Shehzad Younis,30701862,229764,367,,Thinkstan,0,0,2020-07-23 08:33:04,False,245.0
107,RT @joannaccherry: Boris Johnsons Scottish visit shows Politics is not on hold. Brexit is proceeding at full speed. Devolution is under att…,1286217678680739840,Sally Ericsson,764575190906986496,51578,3036,,"London, England",0,267,2020-07-23 08:32:46,False,3294.0
108,RT @jessphillips: Sorry somehow lost the first bit of thread there let's start again. 1.Yesterday I was alerted to a completely fake headli…,1286217366364454915,Sally Ericsson,764575190906986496,51578,3036,,"London, England",0,736,2020-07-23 08:31:31,False,3294.0
109,Tawal signs up Ericsson for managed services deal https://t.co/9Uzo9cUzYX,1286217283166035970,Business News,962725727950049281,41177,916,,"Boston, MA",0,0,2020-07-23 08:31:11,False,1402.0
110,Vodafone UK Ericsson Dynamic Spectrum Sharing on 2100MHz Band 1 nearing release; MBSFN Subframe Configuration on L2… https://t.co/zNOPn8aPNV,1286217259447463936,Peter Clarke,872445554,3311,3270,,London/Hull/East Anglia,28,2,2020-07-23 08:31:06,False,591.0
111,"RT @evazhengll: Ericsson has won at least part of the deal to deploy Deutsche Telekom’s 5G RAN across Germany.
French cybersecurity agency…",1286217006702907393,Noor Ali Paras,1130500313096556549,9833,295,,"Islamabad, Pakistan",0,8,2020-07-23 08:30:05,False,689.0
112,"After the pandemic, the definition of a status symbol might change. 

82% people in India believe that virtual symb… https://t.co/ezXu2PlGHG",1286216984623894533,Ericsson India,2789482657,10787,40495,,India,3,0,2020-07-23 08:30:00,True,258.0
113,RT @JohnJCrace: I'm sure there's a perfectly innocent explanation,1286216682613030912,Sally Ericsson,764575190906986496,51578,3036,,"London, England",0,1035,2020-07-23 08:28:48,False,3294.0
114,"Want to work at Ericsson? We're hiring in #Reading, England! Click the link in our bio for details on this job and… https://t.co/uOqyrNmbPO",1286216171201560578,TMJ-LON IT Adm. Jobs,107649090,498,267,,London,0,0,2020-07-23 08:26:46,False,231.0
115,Excited to share the news that Deutsche Telekom and Ericsson have strengthened their partnership with a #5G deal!… https://t.co/32PjhpLFLw,1286216098526896132,Gerhard Schuller,701720085011030016,1352,46,,"Madrid, España",0,0,2020-07-23 08:26:29,False,69.0
116,#Sony #SonyXperia We need Sony Ericsson #XperiaMini modern remake!,1286215685773897729,жрец любві (нет),250257351,179,23,,Lviv,1,0,2020-07-23 08:24:50,False,181.0
117,My first phone was pink Sony Ericsson walkman and it had LED light on the side and I could change the color to diff… https://t.co/qAgZWvU0Pn,1286215416940036099,turachee,299692935,2070,137,,Ba tu gharaz nist,0,0,2020-07-23 08:23:46,False,132.0
118,"RT @EricssonAPAC: Our future-proof 5G &amp; spectrum sharing solutions are powering the #5GSwitch with @Telstra in #Australia 

Learn more here…",1286214680315191296,KB INDIO Maharlika - Josh | Pasig City,212874709,13709,142,,Pasig City,0,1,2020-07-23 08:20:51,False,102.0
119,RT @Kevin_Jackson: The multi-device space is prime real estate when it comes to enhancing service provider revenue.  https://t.co/4rMGUQWZg…,1286214352677175296,Lisa HockadayJackson📲,3297160441,16325,11101,,,0,1,2020-07-23 08:19:33,False,7707.0
120,@AltheaM98497636 So beautiful... want to squeeze your nipples,1286214348407529472,Kjell Ericsson,3295302089,2191,232,,,0,0,2020-07-23 08:19:32,False,957.0
